"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"27","CR-A:AL-A","APOA4",0.348319593778763,-94.6666666666666,346.666666666667,441.333333333333,-3.14470369885697,0.0665395099572068,2.47857760768466,-202.944737087551,13.6114037542178,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"28","CR-A:AL-A","APOB",0.680498642507178,-358,594,952,-10.3953874840888,0.0065169404869732,2.20143517830173,-493.91250757133,-222.08749242867,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"29","CR-A:AL-A","APOC1",0.824428435416546,-12.3333333333333,16,28.3333333333333,-3.36363636363636,0.0482030427108615,2.80452063978546,-24.4762001540902,-0.190466512576505,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
"30","CR-A:AL-A","APOC3",1.18338128192174,-70.3333333333333,55.3333333333333,125.666666666667,-6.54283224958075,0.00294020745085012,3.95250850542118,-100.321185118793,-40.3454815478741,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"31","CR-A:AL-A","APOC4",1.72246602447109,-7.66666666666667,3.33333333333333,11,-3.10131936733091,0.0652866468926294,2.57118572035699,-16.3308439924823,0.99751065914893,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"32","CR-A:AL-A","APOD",0.317340825391711,-10.3333333333333,42,52.3333333333333,-1.69624453101021,0.186361707494711,3.0686875911204,-29.4772458575183,8.81057919085159,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"33","CR-A:AL-A","APOE",0.941106310946432,-76.6666666666667,83.3333333333333,160,-12.6996254986074,0.00179915957855859,2.68148849729568,-97.2366556502584,-56.0966776830749,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"34","CR-A:AL-A","APOH",0.21896477648132,-49.3333333333333,301,350.333333333333,-2.83049544467506,0.0577268001822134,3.37188428849115,-101.495682746852,2.82901608018499,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"35","CR-A:AL-A","B2MG",0.379493382421177,-22.6666666666667,75.3333333333333,98,-4.71495166791445,0.0134181777775337,3.41602842479274,-36.964037531155,-8.36929580217839,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"36","CR-A:AL-A","B3AT",0.338801913451758,-3,11.3333333333333,14.3333333333333,-1.87662972651367,0.144658644847204,3.46885245901639,-7.71976707151051,1.71976707151051,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"37","CR-A:AL-A","BGH3",-0.415037499278844,4,16,12,1.92153784566105,0.137506537268803,3.48453608247423,-2.13294720611843,10.1329472061184,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"38","CR-A:AL-A","BIP",-0.440572591385981,1.66666666666667,6.33333333333333,4.66666666666667,1.50755672288882,0.211298666267751,3.72307692307692,-1.4949800391207,4.82831337245403,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"39","CR-A:AL-A","BLVRB",0.787455364619899,-17.6666666666667,24.3333333333333,42,-3.67488879999214,0.0231482517456393,3.81348611723226,-31.2755941551041,-4.05773917822925,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
"40","CR-A:AL-A","BTD",0.364572432295856,-7.66666666666667,26.6666666666667,34.3333333333333,-1.82978175360418,0.197950388090822,2.18503282275711,-24.3077433834156,8.97441005008231,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"41","CR-A:AL-A","C1QA",0.652076696579693,-8,14,22,-1.49417473527526,0.241984162032194,2.69043288468534,-26.203884909496,10.203884909496,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"42","CR-A:AL-A","C1QB",0.714597781137752,-16.6666666666667,26,42.6666666666667,-2.09795339574172,0.155471726738984,2.26944288126055,-47.238972369708,13.9056390363747,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"43","CR-A:AL-A","C1QC",1.01748742672884,-14,13.6666666666667,27.6666666666667,-2.61988801851758,0.119074480093895,2.01562476158506,-36.8223005066911,8.82230050669114,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"44","CR-A:AL-A","C1RA",0.296564029398988,-18.3333333333333,80.3333333333333,98.6666666666667,-1.79581365823293,0.201720377916881,2.21980467301273,-58.343039892217,21.6763732255503,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"45","CR-A:AL-A","C4BPA",0.545741190923438,-26.6666666666667,58,84.6666666666667,-6.20920420565066,0.0139569714604817,2.50851160673646,-41.9815302668689,-11.3518030664644,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"46","CR-A:AL-A","CADH1",0,0,7.66666666666667,7.66666666666667,0,1,4,-3.46283544561189,3.46283544561189,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"47","CR-A:AL-A","CAH1",0.473931188332412,-9.33333333333334,24,33.3333333333333,-1.64705882352941,0.231374009731445,2.17296059734887,-31.9465204037932,13.2798537371266,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"48","CR-A:AL-A","CAH2",0.275634442613427,-16,76,92,-2.01049875980014,0.172957876728542,2.15278191901723,-48.0149804750727,16.0149804750727,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
